Key	English Value	Needs Translation
clearDownloads	Clear Downloads	YES
labelTitling	Titling	no
labelTrackName	Track Name	no
labelUnderEmbargo	Under Embargo	YES
labelUpc	UPC (GTIN12)	YES
labelWorkfrontId	Workfront ID	YES
language	Language	no
last12Months	Last 12 Months	YES
last30Days	Last 30 Days	YES
last90Days	Last 90 Days	YES
lastModified	Last Modified	YES
lastUsed	Last used:	YES
listView	List View	YES
loadMore	Load more	no
loadSavedSearch	Load this saved search	YES
loading	Loading...	YES
loadingImages	Loading images...	YES
loadingMarkets	Loading markets...	YES
loadingMediaChannels	Loading media channels...	YES
loadingMoreResults	Loading more results...	YES
loadingRenditions	Loading available renditions...	YES
loadingRequestDetails	Loading request details...	YES
loadingReviewers	Loading reviewers...	YES
loadingReviews	Loading reviews...	YES
loadingRightsRequests	Loading rights requests...	YES
loadingSavedSearches	Loading saved searches...	YES
logOut	Log Out	no
longRangePlanBusinessGoal	Long Range Plan - Business Goal	YES
longRangePlanTactic	Long Range Plan Tactic	YES
loseAccessWarning	You will lose {0} access to this collect	YES
marketChannelsWarning	Please do not select a region or Operati	YES
marketCovered	MARKET COVERED	YES
marketsQuestion	What specific markets will you air these	YES
marketsSelectPrompt	What specific markets will you air these	YES
marketsWarning	Please do not select a region or Operati	YES
masterOrAdaptation	Master or Adaptation	YES
materialsNeeded	Materials Needed	YES
materialsRequiredBy	Materials required by	YES
media	MEDIA	YES
mediaChannelsQuestion	What specific TCCC media channels will y	YES
mediaChannelsWarning	Please refer to the TCCC media terms and	YES
mediaSelectPrompt	What specific TCCC media channels will y	YES
music	Music	no
myAccount	My Account	YES
myCollections	My Collections	no
myNotifications	My Notifications	YES
myPrintJobs	My Print Jobs	no
myProfile	My Profile	no
myReviewsTabLabel	My Reviews ({0})	YES
myRightsRequests	My Rights Requests	no
myRightsReviews	My Rights Reviews	YES
mySavedSearches	My Saved Searches	no
mySavedTemplates	My Saved Templates	no
name	Name	no
nameOfAgencyContact	Name of Agency Contact	YES
nextMonth	Next month	YES
nextSlide	Next Slide	YES
no	No	no
noAssetsInRequest	No assets in this request.	YES
noAssignedReviews	You have no assigned reviews.	YES
noCollectionsFoundMatching	No collections found matching "{0}".	YES
noCollectionsYet	No collections yet. Create your first co	YES
noDataToExport	No data to export	YES
noDescription	No description	YES
noImagesToDisplay	No images to display	YES
noItemsMatchFilters	No items match the selected filters	YES
noKeepIt	No, Keep It	YES
noMarketsAvailable	No markets available	YES
noMarketsFound	No markets found	YES
noMatchingFilters	No matching filters	YES
noMediaChannelsAvailable	No media channels available	YES
noNotifications	No Notifications	YES
noNotificationsMessage	You don't have any notifications at this	YES
noOfFiles	NO OF FILES	YES
noPendingDownloads	No pending downloads	YES
noPreviewAvailable	No preview available	YES
noRequestIdProvided	No request ID provided in URL.	YES
noResultsFound	No results found	no
noReviewersAvailable	No reviewers available	YES
noRightsRequestsFound	No rights requests found	YES
noSavedSearches	No saved searches yet.	YES
noSavedSearchesFoundMatching	No saved searches found matching "{0}".	YES
noSavedSearchesYet	No saved searches yet. Save searches fro	YES
noSearchTerm	(no search term)	YES
noSubject	(No subject)	YES
noTemplatesAvailableForDownload	No templates available for download	YES
noTemplatesInCart	No templates in cart	YES
noUnassignedReviewsFound	No unassigned reviews found.	YES
noUsersGrantedAccess	No users have been granted access yet.	YES
noneSelected	None selected	YES
normal	Normal	YES
notApplicable	N/A	YES
notStarted	Not Started	YES
notificationDeletedSuccessfully	NOTIFICATION DELETED SUCCESSFULLY	YES
notificationMarkedAsRead	NOTIFICATION MARKED AS READ	YES
notifications	Notifications	no
notificationsOption	Notifications	YES
of	of	YES
ofUse	of use.	YES
ok	Ok	YES
openCalendar	Open calendar	YES
openNavigation	Open navigation	YES
otherAssets	Other Assets	YES
overview	Overview	YES
owner	Owner	YES
phoneNumberOfAgencyContact	Phone Number of Agency Contact	YES
photographer	Photographer	no
pleaseSelectReviewer	Please select a reviewer	YES
preview	Preview	no
previousMonth	Previous month	YES
previousSlide	Previous Slide	YES
priorityLabel	Priority:	YES
processing	PROCESSING	YES
pullDateQuestion	When do you intend to pull these assets?	YES
pullDateSelectPrompt	When do you intend to pull these assets?	YES
pullDateValidationError	Pull date must be at least 1 day after a	YES
read	Read	YES
readyToDownload	Ready to Download	YES
remove	Remove	YES
removeAssetFromCollection	Remove Asset From Collection	YES
removeAssetFromCollectionConfirm	Do you want to remove this asset from th	YES
removeFromCart	Remove From Cart	no
removeFromFavorites	Remove from Favorites	YES
removeItem	Remove item	YES
removeMe	Remove Me	YES
removeTemplate	Remove template	YES
removeUser	Remove user	YES
removeUserAccess	Remove User Access	YES
removeUserFromCollection	Remove {0} from "{1}"?	YES
removingYourselfWarning	You're about to remove yourself as {0} f	YES
requestAssignedTo	Request assigned to {0}	YES
requestAuthorization	Request Authorization	YES
requestCancelledSuccessfully	Request cancelled successfully	YES
requestDownload	Request Download	YES
requestLabelColon	Request:	YES
requestRightsExtension	Request Rights Extension	YES
required	*	YES
resetFilters	Reset Filters	YES
resolution	RES.	YES
restrictedBrandsWarning	Brand restricted by market - Please note	YES
retry	Retry	YES
reviewAssignedSuccessfully	Review assigned successfully	YES
reviewStatus	Review Status	no
rights	Rights	YES
rightsEndDate	RIGHTS END DATE	no
rightsExtensionRequest	Rights Extension Request	YES
rightsFree	RIGHTS FREE	YES
rightsProfileTitle	RIGHTS PROFILE TITLE	no
rightsRequestReviews	Rights Request Reviews	YES
rightsRequestsReport	Rights Requests Report	YES
rightsRestrictedFor	Rights Restricted For {0} Of {1} Assets	YES
rightsRestrictions	RIGHTS RESTRICTIONS	no
rightsStartDate	RIGHTS START DATE	no
rightsValidationWarning	Select all rights parameters to enable t	YES
save	Save	no
saveSearch	Save Search	YES
savedSearchCopiedSuccessfully	SAVED SEARCH COPIED SUCCESSFULLY	YES
savedSearchDeletedSuccessfully	SAVED SEARCH DELETED SUCCESSFULLY	YES
savedSearchUpdatedSuccessfully	SAVED SEARCH UPDATED SUCCESSFULLY	YES
savedSearches	Saved Searches	YES
search	Search	no
searchAccordionContent	<p><b>SEARCH:</b> Use the search bar in 	YES
searchAccordionTitle	Search Assets - where you can discover t	YES
searchAddedToFavorites	SEARCH ADDED TO FAVORITES	YES
searchByTitle	Search by title...	YES
searchContentStoresByTitle	Search content stores by title	YES
searchFacetPlaceholder	Search {facetName}...	YES
searchLinkCopiedToClipboard	SEARCH LINK COPIED TO CLIPBOARD	YES
searchMarkets	Search Markets	no
searchName	Search Name	YES
searchNameLabel	Search Name:	YES
searchNameRequired	Search name is required	YES
searchPlaceholder	What are you looking for?	no
searchRemovedFromFavorites	SEARCH REMOVED FROM FAVORITES	YES
searchSavedSuccessfully	SEARCH SAVED SUCCESSFULLY	YES
searchTermHeader	SEARCH TERM	YES
sectionDRM	DRM	YES
sectionIntendedUse	Intended Use	no
sectionLegacyFields	Legacy Fields	YES
sectionMarketingOverview	Marketing Overview	YES
sectionMarketingPackageContainer	Marketing Package and Container Info	YES
sectionOverview	Overview	YES
sectionProductAssetInfo	Product Asset Info	YES
sectionProductIntendedUse	Product Asset Intended Use	YES
sectionProductPackageContainer	Product Asset Package and Container	YES
sectionProduction	Production	YES
sectionScheduledActivation	Scheduled (de)activation	YES
sectionSystemDetails	System Details	YES
sectionSystemInfoLegacy	System Info Legacy	YES
sectionTCCCGeneralInfo	TCCC General Info	YES
sectionTechnicalInfo	Technical Info	YES
sectionTemplateBrand	Template Brand	YES
sectionTemplateIntendedUse	Template Intended Use	YES
sectionTemplateOverview	Template Overview	YES
sectionTemplatePackageContainer	Template Package & Container	YES
selectAReviewer	Select a reviewer...	YES
selectAirDate	Select the intended air date	YES
selectAll	Select All	no
selectDate	Select date	YES
selectFilter	Select Filter	YES
selectIntendedAirDate	Select the intended air date	YES
selectIntendedPullDate	Select the intended pull date	YES
selectMarkets	Select markets	YES
selectMediaChannels	Select media channels	YES
selectNewStatus	Select New Status:	YES
selectPullDate	Select the intended pull date	YES
selectReviewer	Select Reviewer:	YES
sendRequest	Send Request	YES
share	Share	YES
shareAccess	Share Access	YES
shareAsset	Share Asset	YES
shareCart	Share Cart	no
shareCollection	Share Collection	YES
shareSearch	Share Search	YES
sharedCount	Shared: {0}	YES
shoppingCart	Shopping Cart	YES
shortlyYouWillFindNotification	Shortly you will find a notification in 	YES
showFilter	Show Filter	YES
showFullDetails	Show full details	YES
showOnlyAuthorizedAssets	Show only authorized assets	YES
showSlide	Show Page	YES
showing	Showing	YES
simulateUser	Simulate User	YES
simulatingUser	Simulating User	YES
size	Size	no
smrWarning	Self-managed rights (SMR) - Please note 	YES
sourceAsset	Source Asset	YES
status	STATUS	no
statusLabel	Status:	YES
statusUpdatedTo	Status updated to "{0}"	YES
stockFootage	Stock Footage	no
subject	SUBJECT	YES
submittedBy	Submitted by {0}	YES
submittedByLabelColon	Submitted by:	YES
submitterInformation	Submitter Information	YES
success	SUCCESS	YES
switchToFiltersHint	Switch to Filters tab and click "Save Se	YES
tags	Tags	no
talent	Talent	no
tcccAssociate	TCCC Associate	YES
tcccGeneralInfo	TCCC General Info	YES
template	Template	no
templates	Templates	no
termsAndConditions	terms and conditions	YES
thankYouForYourRequest	Thank you for your request. We are worki	YES
thumbnail	THUMBNAIL	no
title	TITLE	no
toRightsDate	To Rights Date	YES
toSeeAllSavedSearches	to see all saved searches.	YES
toggleInfo	Toggle info	YES
topResults	Top Results	no
total	Total	no
totalRequests	total requests	YES
tryAdjustingSearch	Try adjusting your search or filter crit	YES
tryDifferentSearchOrClear	Try different search terms or clear sear	YES
type	TYPE	no
typeAName	Type a name...	YES
typeLabel	Type:	YES
unableToCheckAssetClearance	Unable to check asset clearance. Please 	YES
unableToFindAssetIds	Unable to find asset IDs. Assets may not	YES
unassignedTabLabel	Unassigned ({0})	YES
unknown	Unknown	YES
unread	Unread	YES
untitled	Untitled	YES
update	Update	YES
updating	Updating...	YES
upload	Upload	YES
usage	USAGE	YES
usageAuthorizedFor	Usage Is Authorized For {0} Of {1} Asset	YES
usageRightsRequired	Usage Rights Required	YES
userRemovedFromCollection	USER REMOVED FROM COLLECTION	YES
viewAccess	view	YES
viewDetails	View Details	YES
viewLargerImage	View larger image	YES
viewOnly	View Only	YES
viewPdf	View PDF	YES
viewPdfFullScreen	View PDF in full screen	YES
viewer	Viewer	YES
voiceover	Voiceover	no
xItemsFound	{0} items found	YES
xOfYNotifications	{0} of {1} notifications	YES
xUnread	{0} unread	YES
yes	Yes	no
yesCancelRequest	Yes, Cancel Request	YES
yourCartIsEmpty	Your cart is empty	YES
youveBeenRemovedFromCollection	YOU'VE BEEN REMOVED FROM '{0}'	YES
zipFiles	ZIP FILES	YES
